id	daily	domain	company_name	dba	existing_match	variant	industry
1	Antitrust	COMPANIES	Apple Inc				55454
2	Antitrust	COMPANIES	Apple Inc				55454
3	Antitrust	COMPANIES	Apple Inc				55454
4	Antitrust	COMPANIES	Benihana Inc				4545454
5	Antitrust	COMPANIES	Benihana of Tokyo LLC				7854878
6	Antitrust	COMPANIES	Patriot Pyrotechnics LLC	Bill's Fireworks		3004741	
7	Banking	COMPANIES	American Bankers Association			3014946	
8	Banking	COMPANIES	Banco Safra SA-Cayman Islands Branch			3000306	
9	Banking	COMPANIES	Chase Bank USA NA			3005846	
10	Banking	COMPANIES	Consumer Bankers Association			2006884	
11	Banking	COMPANIES	Independent Community Bankers of America			3009291	
12	Banking	COMPANIES	MUFG Bank Ltd	Bank of Tokyo-Mitsubishi UFJ, Ltd.			345343
13	Banking	COMPANIES	Americans for Financial Reform				56986565
14	Banking	COMPANIES	AMTD International Inc				454547
15	Banking	COMPANIES	Bank Policy Institute				124574
16	Banking	COMPANIES	BankPolicyInstitute				2121241
17	Banking	COMPANIES	Bankrate				
18	Banking	COMPANIES	Better Markets			3012844	
19	Banking	COMPANIES	BetterMarkets				
20	Banking	COMPANIES	BHP Billiton Ltd				
21	Banking	COMPANIES	BRP Inc				
22	Banking	COMPANIES	Consumer Federation of America			2006884	
23	Banking	COMPANIES	Employees Retirement System of the State of Hawaii				
24	Banking	COMPANIES	Equifax		3007108		
25	Banking	COMPANIES	Equifax Inc		3007108		
26	Banking	COMPANIES	Fannie Mae				
27	Banking	COMPANIES	Financial Services Forum				
28	Banking	COMPANIES	Freddie Mac				
29	Banking	COMPANIES	Freedom Debt Relief LLC				
30	Banking	COMPANIES	Glucose Biosensor Systems (Greater China) Holdings Inc				
31	Banking	COMPANIES	Jefferies LLC				
32	Banking	LAW FIRMS	Winston & Strawn LLP			2003146	
33	Banking	LAW FIRMS	Witherspoon Brajcich McPhee			2008090	
34	Health	COMPANIES	Bayer Healthcare LLC			3000271	
35	Health	COMPANIES	Bayer Healthcare Pharmaceuticals Inc			3000271	
36	Health	COMPANIES	Bayer Pharma AG			3000271	
37	Health	COMPANIES	Arkansas Health Group			3003616	
38	Health	COMPANIES	Biomet Orthopedics Inc				
39	Health	COMPANIES	Biomet Inc				
40	Health	COMPANIES	Constellation Health LLC			3004836	
41	Health	COMPANIES	Dr Pepper Snapple Group Inc				
42	Health	COMPANIES	Fresenius Medical Care Holdings Inc		3008407		
43	Health	COMPANIES	HCR Home Health Care & Hospice LLC				
44	Health	COMPANIES	HCR ManorCare Inc				
45	Health	COMPANIES	Health Care Authority of the City of Huntsville	Huntsville Hospital Association, Inc.			
46	Health	COMPANIES	Health Care Compliance Association				
47	Health	COMPANIES	Lehigh Valley Health Network Inc				
48	Health	COMPANIES	Lehigh Valley Hospital			3010264	
49	Health	COMPANIES	LivinRite Inc				
50	Health	COMPANIES	Long Grove Manor Inc	Arlington Rehabilitation & Living Center		3010462	
51	Health	COMPANIES	Medco Health Solutions Inc			3010968	
52	Health	COMPANIES	Partners Health Care System Inc				
