id	daily	domain	company_name	existing_code	variant	industry	batch_id
1	Antitrust	COMPANIES	Apple Inc				
2	Antitrust	COMPANIES	Apple Inc				
3	Antitrust	COMPANIES	Apple Inc				
4	Antitrust	COMPANIES	Benihana Inc				
5	Antitrust	COMPANIES	Benihana of Tokyo LLC				
6	Antitrust	COMPANIES	Patriot Pyrotechnics LLC				
7	Banking	COMPANIES	American Bankers Association				
8	Banking	COMPANIES	Banco Safra SA-Cayman Islands Branch				
9	Banking	COMPANIES	Chase Bank USA NA				
10	Banking	COMPANIES	Consumer Bankers Association				
11	Banking	COMPANIES	Independent Community Bankers of America				
12	Banking	COMPANIES	MUFG Bank Ltd				
13	Banking	COMPANIES	Americans for Financial Reform				
14	Banking	COMPANIES	AMTD International Inc				
15	Banking	COMPANIES	Bank Policy Institute				
16	Banking	COMPANIES	BankPolicyInstitute				
17	Banking	COMPANIES	Bankrate				
18	Banking	COMPANIES	Better Markets				
19	Banking	COMPANIES	BetterMarkets				
20	Banking	COMPANIES	BHP Billiton Ltd				
21	Banking	COMPANIES	BRP Inc				
22	Banking	COMPANIES	Consumer Federation of America				
23	Banking	COMPANIES	Employees Retirement System of the State of Hawaii				
24	Banking	COMPANIES	Equifax				
25	Banking	COMPANIES	Equifax Inc				
26	Banking	COMPANIES	Fannie Mae				
27	Banking	COMPANIES	Financial Services Forum				
28	Banking	COMPANIES	Freddie Mac				
29	Banking	COMPANIES	Freedom Debt Relief LLC				
30	Banking	COMPANIES	Glucose Biosensor Systems (Greater China) Holdings Inc				
31	Banking	COMPANIES	Jefferies LLC				
32	Banking	LAW FIRMS	Winston & Strawn LLP				
33	Banking	LAW FIRMS	Witherspoon Brajcich McPhee				
34	Health	COMPANIES	Bayer Healthcare LLC				
35	Health	COMPANIES	Bayer Healthcare Pharmaceuticals Inc				
36	Health	COMPANIES	Bayer Pharma AG				
37	Health	COMPANIES	Arkansas Health Group				
38	Health	COMPANIES	Biomet Orthopedics Inc				
39	Health	COMPANIES	Biomet Inc				
40	Health	COMPANIES	Constellation Health LLC				
41	Health	COMPANIES	Dr Pepper Snapple Group Inc				
42	Health	COMPANIES	Fresenius Medical Care Holdings Inc				
43	Health	COMPANIES	HCR Home Health Care & Hospice LLC				
44	Health	COMPANIES	HCR ManorCare Inc				
45	Health	COMPANIES	Health Care Authority of the City of Huntsville				
46	Health	COMPANIES	Health Care Compliance Association				
47	Health	COMPANIES	Lehigh Valley Health Network Inc				
48	Health	COMPANIES	Lehigh Valley Hospital				
49	Health	COMPANIES	LivinRite Inc				
50	Health	COMPANIES	Long Grove Manor Inc				
51	Health	COMPANIES	Medco Health Solutions Inc				
52	Health	COMPANIES	Partners Health Care System Inc				
53	Health	COMPANIES	Sanford Health				
54	Health	COMPANIES	Sanofi US Services Inc				
